,Longitudinal_position,Prismatic_coefficient,Length_displacement_ratio,Beam_draught_ratio,Length_beam_ratio,Froude_number,resistance,ground_truth
0,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.0,0.001602307322544464,0
1,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.07692307692307687,0.004165999038615607,0
2,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.15384615384615374,0.007370613683704535,0
3,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.23076923076923084,0.012337766383592373,0
4,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.3076923076923077,0.20379761329542648,1
5,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.3846153846153846,0.029001762538054802,0
6,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.46153846153846156,0.04165999038615606,0
7,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.5384615384615383,0.0600865245954174,0
8,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.6153846153846154,0.07979490466271431,0
9,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.6923076923076921,0.11456497356192918,0
10,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.7692307692307692,0.19099503284730013,0
11,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.8461538461538463,0.32206377183143725,0
12,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,0.9230769230769229,0.5245954174010575,0
13,0.54,0.5428571428571427,0.5500000000000007,0.46456692913385833,0.4835164835164836,1.0,0.5492299110011494,1
14,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.0,-0.3131752586151199,1
15,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.07692307692307687,0.002563691716071143,0
16,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.15384615384615374,0.3600420840669201,1
17,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.23076923076923084,-0.24163549241912746,1
18,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.3076923076923077,0.016824226886716875,0
19,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.3846153846153846,0.025316455696202535,0
20,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.46153846153846156,0.03717352988303157,0
21,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.5384615384615383,0.05255568017945842,0
22,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.6153846153846154,0.07370613683704536,0
23,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.6923076923076921,0.11376381990065695,0
24,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.7692307692307692,0.19195641724082682,0
25,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.8461538461538463,0.337766383592373,0
26,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,0.9230769230769229,0.5608075628905624,0
27,0.54,0.5571428571428569,0.5500000000000007,0.09055118110236227,1.0,1.0,0.8298349623457779,0
28,0.54,0.5,0.5500000000000007,1.0,0.03296703296703285,0.0,0.0012818458580355712,0
29,0.54,0.5,0.5500000000000007,1.0,0.03296703296703285,0.07692307692307687,0.004486460503124499,0
30,0.54,0.5,0.5500000000000007,1.0,0.03296703296703285,0.15384615384615374,0.008812690273994553,0
31,0.54,0.5,0.5500000000000007,1.0,0.03296703296703285,0.23076923076923084,0.013619612241627943,0
32,0.54,0.5,0.5500000000000007,1.0,0.03296703296703285,0.3076923076923077,0.020829995193078037,0
