,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,ground_truth
0,2,0.455,0.365,0.095,0.18133522224189835,0.15030262273032952,0.13232389730085584,0.14798206278026907,0.5,0
1,2,0.35,0.265,0.09,0.07915707455285993,0.06624075319435103,0.06319947333772219,0.06826108619830595,0.2142857142857143,0
2,0,0.53,0.42,0.135,0.23906499026031522,0.17182246133154,0.1856484529295589,0.20777279521674144,0.2857142857142857,0
3,2,0.44,0.365,0.125,0.18204356295378077,0.14425016812373906,0.14944042132982224,0.15296462381664178,0.3214285714285714,0
4,1,0.33,0.255,0.08,-0.20259125594885968,-0.2149720345734521,-0.22313826611802556,-0.22117443511573698,-0.06020212391921054,1
5,1,0.425,0.3,0.095,-0.22006982549660006,-0.2497030710177563,-0.24246987641878948,-0.22576566833601924,-0.09385236489805215,1
6,0,0.53,0.415,0.15,0.2746591110324066,0.15870880968392734,0.1856484529295589,0.32735426008968616,0.6785714285714285,0
7,0,0.545,0.425,0.125,0.2712944926509651,0.19704102219233352,0.19618169848584593,0.25759840558046837,0.5357142857142857,0
8,2,0.475,0.37,0.125,0.1797414556401629,0.14492266308002688,0.14746543778801843,0.1629297458893872,0.2857142857142857,0
9,0,0.55,0.44,0.15,0.31609704267752786,0.210827168796234,0.19815668202764974,0.31738913801694074,0.6428571428571428,0
10,0,0.525,0.38,0.14,0.2140959801664601,0.12979152656355075,0.19354838709677416,0.20777279521674144,0.4642857142857143,0
11,2,0.43,0.35,0.11,0.14308482380024792,0.11197041022192333,0.10599078341013825,0.133034379671151,0.3214285714285714,0
12,2,0.49,0.38,0.135,0.19107490703028154,0.1455951580363147,0.12442396313364054,0.18784255107125067,0.35714285714285715,0
13,0,0.535,0.405,0.145,0.24172126792987425,0.18258238063214524,0.22448979591836735,0.20279023418036873,0.3214285714285714,0
14,0,0.47,0.355,0.1,0.5784339115248582,0.5227046582086198,0.5160667035495667,0.5935942380215744,0.7321628194152678,1
15,2,0.5,0.4,0.13,0.2346378608110501,0.17283120376597175,0.17445687952600394,0.2376681614349776,0.39285714285714285,0
16,1,0.355,0.28,0.085,0.10217814768903842,0.06321452589105582,0.051349572086899276,0.11310413552566022,0.2142857142857143,0
17,0,0.44,0.34,0.1,0.15902248981760228,0.1257565568258238,0.1138907175773535,0.1280518186347783,0.3214285714285714,0
18,2,0.365,0.295,0.08,0.5887525544135823,0.5635298849861177,0.554928236200261,0.5971268215990283,0.7132560834682005,1
19,2,0.45,0.32,0.1,0.13423056490171772,0.11398789509078681,0.09809084924292297,0.11310413552566022,0.2857142857142857,0
20,2,0.355,0.28,0.095,0.08624048167168408,0.06355077336919973,0.08097432521395655,0.07324364723467863,0.35714285714285715,0
21,1,0.38,0.275,0.1,0.07915707455285993,0.053127101546738394,0.06385780118499013,0.08320876930742405,0.3214285714285714,0
22,0,0.565,0.44,0.155,0.3320347086948822,0.2868190988567585,0.2811059907834101,0.2675635276532138,0.39285714285714285,0
23,0,0.55,0.415,0.135,0.2697007260492297,0.2131809011432414,0.2758393680052666,0.19780767314399605,0.2857142857142857,0
24,0,0.615,0.48,0.165,0.4106605277138303,0.3443174176193678,0.39565503620803155,0.30244145490782265,0.3214285714285714,0
25,0,0.56,0.44,0.14,0.32813883477952893,0.2565568258238063,0.24687294272547727,0.2974588938714499,0.35714285714285715,0
26,0,0.58,0.45,0.185,0.35186824862758986,0.2646267652992602,0.3574720210664911,0.2825112107623318,0.35714285714285715,0
27,2,0.59,0.445,0.14,0.06874128376860605,-0.021547267418597083,0.047156127773351764,0.017245672825183245,0.1325741659563669,1
28,2,0.605,0.475,0.18,0.3309721976270586,0.2642905178211163,0.2876892692560895,0.29247633283507724,0.5,0
29,2,0.575,0.425,0.14,0.30511776164335047,0.26361802286482844,0.29822251481237655,0.19780767314399605,0.35714285714285715,0
30,2,0.58,0.47,0.165,0.5285000142039041,0.43987769520740416,0.4938957750948465,0.503277684954118,0.4973519962930032,1
31,0,0.68,0.56,0.165,0.5797768726757571,0.4065232010759919,0.3686635944700461,0.45690084703537626,0.5,0
32,2,0.665,0.525,0.165,0.4731715955374535,0.37020847343644914,0.47004608294930866,0.34728450423517687,0.6071428571428571,0
33,0,0.68,0.55,0.175,0.6360899592704091,0.5474108944182917,0.5161290322580645,0.4519182859990035,0.6428571428571428,0
34,0,0.705,0.55,0.2,0.6047458827696122,0.4250168123739071,0.5411454904542461,0.4867962132536124,0.42857142857142855,0
35,2,0.465,0.355,0.105,0.16911634496192668,0.15198386012104909,0.16260697827518103,0.1230692575984056,0.25,0
36,0,0.54,0.475,0.155,0.4303169824685674,0.3560860793544047,0.4042132982225148,0.33731938216243157,0.5357142857142857,0
37,0,0.45,0.355,0.105,0.1843456702673986,0.15870880968392734,0.15273206056616195,0.1429995017438964,0.25,0
38,0,0.575,0.445,0.135,0.312024083584204,0.2555480833893745,0.26728110599078336,0.25759840558046837,0.35714285714285715,0
39,2,0.355,0.29,0.09,0.11528245085886311,0.0894418291862811,0.11257406188281763,0.08819133034379673,0.2857142857142857,0
40,0,0.45,0.335,0.105,0.14981406056313085,0.12474781439139204,0.11915734035549702,0.11310413552566022,0.2857142857142857,0
41,0,0.55,0.425,0.135,0.300867717372056,0.2427706792199058,0.2574061882817643,0.2675635276532138,0.4642857142857143,0
42,1,0.24,0.175,0.045,0.024083584204002126,0.020511096166778743,0.03028308097432521,0.018435475834578975,0.14285714285714285,0
43,1,0.205,0.15,0.055,0.014166814237648309,0.016476126429051777,0.01909150757077024,0.010463378176382663,0.14285714285714285,0
44,1,0.21,0.15,0.05,0.014166814237648309,0.011096166778749158,0.015799868334430544,0.013452914798206279,0.10714285714285714,0
